Date,G7 Monthly Composite Leading Indicators (MEI) Amplitude adjusted,OECD Total Monthly Composite Leading Indicators (MEI) Amplitude adjusted,Monthly Business Tendency and Consumer Opinion Surveys (MEI),"Civilian Unemployment Rate, Percent, Monthly, Seasonally Adjusted","Consumer Price Index for All Urban Consumers: All Items, Index 1982-1984=100, Monthly, Seasonally Adjusted",Adj Close of CBOE Volatility Index from Yahoo Finance
Mar-2007,101.61,101.57,-2.00,4.40,205.29,14.64
Apr-2007,101.66,101.61,-6.00,4.50,205.90,14.22
May-2007,101.68,101.64,-10.00,4.40,206.76,13.05
Jun-2007,101.66,101.65,-5.00,4.60,207.23,16.23
Jul-2007,101.59,101.62,-2.00,4.70,207.60,23.52
Aug-2007,101.49,101.56,-10.00,4.60,207.67,23.38
Sep-2007,101.39,101.48,-10.00,4.70,208.55,18.00
Oct-2007,101.29,101.39,-10.00,4.70,209.19,18.53
Nov-2007,101.19,101.29,-16.00,4.70,210.83,22.87
Dec-2007,101.09,101.18,-15.00,5.00,211.45,22.50
Jan-2008,100.98,101.06,-3.00,5.00,212.17,26.20
Feb-2008,100.86,100.91,-7.00,4.90,212.69,26.54
Mar-2008,100.72,100.71,-13.00,5.10,213.45,25.61
Apr-2008,100.53,100.47,-16.00,5.00,213.94,20.79
May-2008,100.28,100.16,-25.00,5.40,215.21,17.83
Jun-2008,99.94,99.78,-26.00,5.60,217.46,23.95
Jul-2008,99.49,99.30,-18.00,5.80,219.02,22.94
Aug-2008,98.92,98.72,-8.00,6.10,218.69,20.65
Sep-2008,98.23,98.03,6.00,6.10,218.88,39.39
Oct-2008,97.46,97.30,-1.00,6.50,217.00,59.89
Nov-2008,96.71,96.61,-3.00,6.80,213.15,55.28
Dec-2008,96.07,96.05,3.00,7.30,211.40,40.00
Jan-2009,95.61,95.69,6.00,7.80,211.93,44.84
Feb-2009,95.37,95.56,-5.00,8.30,212.71,46.35
Mar-2009,95.39,95.67,6.00,8.70,212.50,44.14
Apr-2009,95.65,96.00,16.00,9.00,212.71,36.50
May-2009,96.08,96.48,22.00,9.40,213.02,28.92
Jun-2009,96.62,97.04,17.00,9.50,214.79,26.35
Jul-2009,97.21,97.62,12.00,9.50,214.73,25.92
Aug-2009,97.78,98.18,19.00,9.60,215.45,26.01
Sep-2009,98.31,98.69,27.00,9.80,215.86,25.61
Oct-2009,98.79,99.13,18.00,10.00,216.51,30.69
Nov-2009,99.19,99.50,14.00,9.90,217.23,24.51
Dec-2009,99.53,99.80,17.00,9.90,217.35,21.68
Jan-2010,99.80,100.04,23.00,9.80,217.49,24.62
Feb-2010,100.00,100.22,20.00,9.80,217.28,19.50
Mar-2010,100.14,100.35,19.00,9.90,217.35,17.59
Apr-2010,100.22,100.42,16.00,9.90,217.40,22.05
May-2010,100.23,100.44,9.00,9.60,217.29,32.07
Jun-2010,100.21,100.44,16.00,9.40,217.20,34.54
Jul-2010,100.20,100.44,2.00,9.40,217.61,23.50
Aug-2010,100.23,100.47,7.00,9.50,217.92,26.05
Sep-2010,100.30,100.53,1.00,9.50,218.28,23.70
Oct-2010,100.41,100.61,10.00,9.40,219.04,21.20
Nov-2010,100.55,100.71,16.00,9.80,219.59,23.54
Dec-2010,100.68,100.80,17.00,9.30,220.47,17.75
Jan-2011,100.78,100.86,19.00,9.10,221.19,19.53
Feb-2011,100.81,100.86,22.00,9.00,221.90,18.35
Mar-2011,100.76,100.79,-4.00,9.00,223.05,17.74
Apr-2011,100.64,100.66,2.00,9.10,224.09,14.75
May-2011,100.45,100.48,12.00,9.00,224.81,15.45
Jun-2011,100.21,100.26,10.00,9.10,224.81,16.52
Jul-2011,99.96,100.02,-1.00,9.00,225.40,25.25
Aug-2011,99.72,99.81,-14.00,9.00,226.11,31.62
Sep-2011,99.56,99.66,-12.00,9.00,226.60,42.96
Oct-2011,99.48,99.58,-8.00,8.80,226.75,29.96
Nov-2011,99.50,99.58,-2.00,8.60,227.17,27.80
Dec-2011,99.58,99.63,4.00,8.50,227.22,23.40
Jan-2012,99.67,99.69,16.00,8.30,227.84,19.44
Feb-2012,99.73,99.73,15.00,8.30,228.33,18.43
Mar-2012,99.74,99.73,17.00,8.20,228.81,15.50
Apr-2012,99.70,99.69,15.00,8.20,229.19,17.15
May-2012,99.61,99.61,20.00,8.20,228.71,24.06
Jun-2012,99.50,99.51,12.00,8.20,228.52,17.08
Jul-2012,99.41,99.42,14.00,8.20,228.59,18.93
Aug-2012,99.36,99.35,10.00,8.10,229.92,17.47
Sep-2012,99.34,99.32,9.00,7.80,231.02,15.73
Oct-2012,99.37,99.33,14.00,7.80,231.64,18.60
Nov-2012,99.43,99.38,19.00,7.70,231.25,15.87
Dec-2012,99.51,99.46,3.00,7.90,231.22,18.02
Jan-2013,99.62,99.55,4.00,8.00,231.68,14.28
Feb-2013,99.74,99.66,7.00,7.70,232.94,15.51
Mar-2013,99.86,99.75,9.00,7.50,232.28,12.70
Apr-2013,99.99,99.84,4.00,7.60,231.80,13.52
May-2013,100.12,99.93,14.00,7.50,231.89,16.30
Jun-2013,100.25,100.02,12.00,7.50,232.45,16.86
Jul-2013,100.36,100.11,8.00,7.30,232.90,13.45
Aug-2013,100.47,100.19,5.00,7.20,233.46,17.01
Sep-2013,100.55,100.27,-8.00,7.20,233.54,16.60
Oct-2013,100.61,100.34,-5.00,7.20,233.67,13.75
Nov-2013,100.66,100.39,-7.00,6.90,234.10,13.70
Dec-2013,100.68,100.41,1.00,6.70,234.72,13.72
Jan-2014,100.69,100.42,-2.00,6.60,235.29,18.41
Feb-2014,100.69,100.43,2.00,6.70,235.55,14.00
Mar-2014,100.69,100.43,0.00,6.70,236.03,13.88
Apr-2014,100.68,100.43,1.00,6.20,236.47,13.41
May-2014,100.66,100.42,5.00,6.30,236.92,11.40
Jun-2014,100.63,100.41,2.00,6.10,237.23,11.57
Jul-2014,100.59,100.40,-5.00,6.20,237.50,16.95
Aug-2014,100.55,100.40,-4.00,6.10,237.46,12.09
Sep-2014,100.52,100.40,1.00,5.90,237.48,16.31
Oct-2014,100.49,100.41,9.00,5.70,237.43,14.03
Nov-2014,100.47,100.42,9.00,5.80,236.98,13.33
Dec-2014,100.44,100.42,12.00,5.60,236.25,19.20
Jan-2015,100.41,100.42,22.00,5.70,234.72,20.97
Feb-2015,100.38,100.40,15.00,5.50,235.24,13.34
Mar-2015,100.35,100.38,8.00,5.40,236.01,15.29
Apr-2015,100.31,100.34,15.00,5.40,236.16,14.55
May-2015,100.27,100.28,12.00,5.60,236.97,13.84
Jun-2015,100.22,100.22,13.00,5.30,237.68,18.23
Jul-2015,100.14,100.14,6.00,5.20,238.05,12.12
Aug-2015,100.04,100.05,3.00,5.10,238.03,28.43
Sep-2015,99.93,99.98,-4.00,5.00,237.51,24.50
Oct-2015,99.83,99.91,0.00,5.00,237.78,15.07
Nov-2015,99.74,99.85,2.00,5.10,238.02,16.13
Dec-2015,99.65,99.78,3.00,5.00,237.82,18.21
Jan-2016,99.56,99.71,4.00,4.90,237.83,20.20
Feb-2016,99.49,99.65,4.00,4.90,237.47,20.55
Mar-2016,99.44,99.62,4.00,5.00,238.04,13.95
Apr-2016,99.41,99.61,-2.00,5.00,238.83,15.70
May-2016,99.40,99.62,6.00,4.80,239.46,14.19
Jun-2016,99.40,99.64,3.00,4.90,240.17,15.63
Jul-2016,99.42,99.68,-1.00,4.80,240.15,11.87
Aug-2016,99.47,99.73,3.00,4.90,240.60,13.42
Sep-2016,99.56,99.80,9.00,5.00,241.05,13.29
Oct-2016,99.66,99.88,3.00,4.90,241.69,17.06
Nov-2016,99.78,99.96,8.00,4.70,242.03,13.33
Dec-2016,99.89,100.03,19.00,4.70,242.77,14.04
Jan-2017,99.97,100.09,25.00,4.70,243.78,11.99
Feb-2017,100.03,100.13,13.00,4.70,243.96,12.92
Mar-2017,100.07,100.17,13.00,4.40,243.75,12.37
Apr-2017,100.10,100.22,20.00,4.40,244.05,10.82
May-2017,100.14,100.28,17.00,4.40,243.96,10.41
Jun-2017,100.19,100.34,5.00,4.30,244.18,11.18
Jul-2017,100.24,100.40,2.00,4.30,244.39,10.26
Aug-2017,100.29,100.47,9.00,4.40,245.30,10.59
Sep-2017,100.35,100.52,7.00,4.20,246.42,9.51
Oct-2017,100.39,100.55,9.00,4.10,246.59,10.18
Nov-2017,100.43,100.57,13.00,4.20,247.33,11.28
Dec-2017,100.45,100.56,11.00,4.10,247.90,11.04
Jan-2018,100.46,100.53,13.00,4.10,248.88,13.54
Feb-2018,100.45,100.49,17.00,4.10,249.37,19.85
Mar-2018,100.43,100.42,9.00,4.00,249.50,19.97
Apr-2018,100.38,100.33,6.00,3.90,249.96,15.93
May-2018,100.32,100.22,8.00,3.80,250.65,15.43
Jun-2018,100.25,100.11,7.00,4.00,251.13,16.09
Jul-2018,100.17,99.99,-2.00,3.90,251.60,12.83
Aug-2018,100.07,99.86,6.00,3.80,251.88,12.86
Sep-2018,99.93,99.71,10.00,3.70,252.01,12.12
Oct-2018,99.77,99.56,3.00,3.80,252.79,21.23
Nov-2018,99.58,99.42,2.00,3.70,252.76,18.07
Dec-2018,99.39,99.29,2.00,3.90,252.72,25.42
Jan-2019,99.23,99.18,-8.00,4.00,252.67,16.57
Feb-2019,99.09,99.10,-1.00,3.80,253.11,14.78
,,,,,,